region,name,url,website,address,city,state,zip_code,phone,latitude,longitude,geocoding_status,id
southeast,5 O’Clock Club,https://wisconsinsupperclubs.com/supper-club/5-oclock-club-2/,https://the5oclockclubpewaukee.com,N28 W26658 Peterson Drive,Pewaukee,WI,53072,262-691-9960,43.0726325,-88.2778795,success,0
southeast,Alpine Retreat,https://wisconsinsupperclubs.com/supper-club/alpine-retreat/,https://www.alpineretreat.net/,1380 Friess Lake Road,"Hubertus,",WI,53033,262-628-3995,43.2389669,-88.2877987,success,1
southeast,Bass Bay Brewhouse,https://wisconsinsupperclubs.com/supper-club/bass-bay-brewhouse/,https://www.bassbaybrewhouse.com,S79 W15851 Aud Mar Drive,"Muskego,",WI,53150,414-377-9449,42.8998736,-88.11251,success,2
southeast,Bayside Supper Club,https://wisconsinsupperclubs.com/supper-club/bayside-supper-club/,https://www.restaurantji.com/wi/beaver-dam/bayside-supper-club-/,W9231 County Road G,"Beaver Dam,",WI,53916,920-887-0505,43.4432893,-88.8609065,success,3
southeast,Blue Heron Supper Club,https://wisconsinsupperclubs.com/supper-club/blue-heron-supper-club/,https://www.facebook.com/theblueheronsupperclub/,W229 S8300 Hwy 164,"Big Bend,",WI,53103,262-662-9985,42.8839956,-88.2088031,success,4
southeast,Brittain House Supper Club,https://wisconsinsupperclubs.com/supper-club/brittain-house-supper-club/,https://www.facebook.com/Brittain-House-Supper-Club-1701362813414555/,735 South Watertown Street,"Waupun,",WI,53963,920-345-1800,43.6224959,-88.7243357,success,5
southeast,Butler Inn of Pewaukee,https://wisconsinsupperclubs.com/supper-club/butler-inn-of-pewaukee/,http://butlerinnofpewaukee.com,742 Glacier Road,"Pewaukee,",WI,53072,262-691-0840,43.087706,-88.2774033,success,6
southeast,Cantafio’s Buckhorn Steakhouse,https://wisconsinsupperclubs.com/supper-club/cantafios-buckhorn-steakhouse/,https://www.cantafiosbuckhornsteakhouse.com,N8802 County Road A,"Beaver Dam,",WI,53916,920-885-0505,43.5139937,-88.8103179,success,7
southeast,Clifford’s Supper Club,https://wisconsinsupperclubs.com/supper-club/cliffords-supper-club/,http://www.cliffordsfinefood.com,10418 West Forest Home Avenue,"Hales Corners,",WI,53130,414-425-6226,42.9395025,-88.0440843,success,8
southeast,Colony House **,https://wisconsinsupperclubs.com/supper-club/colony-house/,https://www.facebook.com/Colony-House-Restaurant-116258141736504/,25811 119th Street,"Trevor,",WI,53179,262-862-2076,42.5062829,-88.1208666,success,9
southeast,"Copper Dock, The *†",https://wisconsinsupperclubs.com/supper-club/the-copper-dock-%e2%80%a0/,http://www.thecopperdock.com/,1474 East Friess Lake Drive,"Hubertus,",WI,53033,262-628-3718,43.2407209,-88.2709137,success,10
southeast,Corner House Supper Club,https://wisconsinsupperclubs.com/supper-club/corner-house-supper-club/,https://www.chsupperclub.com,207 Gas Light Circle,"Racine,",WI,53403,262-637-1295,42.731913,-87.7800798,success,11
southeast,Diamond Jim’s Steakhouse *†,https://wisconsinsupperclubs.com/supper-club/diamond-jims-steakhouse-%e2%80%a0/,http://diamondjimssteakhouse.com,11811 West Janesville Road,"Hales Corners,",WI,53130,414-425-7777,42.9364464,-88.06108150000001,success,12
southeast,"Duck Inn, The *†",https://wisconsinsupperclubs.com/supper-club/the-duck-inn-%e2%80%a0/,http://www.duckinndelavan.com/,N6214 Hwy 89,"Delavan,",WI,53115,608-883-6988,42.7161862,-88.7403021,success,13
southeast,Edgewater Supper Club **,https://wisconsinsupperclubs.com/supper-club/edgewater-supper-club/,http://theedgewatersupperclub.com/,N3522 County Road K,"Jefferson,",WI,53549,920-674-9942,42.9701548,-88.8088763,success,14
southeast,Feil’s Supper Club,https://wisconsinsupperclubs.com/supper-club/feils-supper-club/,https://www.feilssupperclub.com,N8743 Hwy 73,"Randolph,",WI,53956,920-326-5544,43.51100659999999,-89.0007773,success,15
southeast,Fitzgerald’s Genoa Junction **,https://wisconsinsupperclubs.com/supper-club/fitzgeralds-genoa-junction/,http://fitzgeraldsfishboil.com/,727 Main Street (Hwy B),"Genoa City,",WI,53128,262-279-5200,42.49706279999999,-88.33085810000001,success,16
southeast,Five O’Clock Steakhouse **,https://wisconsinsupperclubs.com/supper-club/five-oclock-steakhouse/,https://www.facebook.com/FiveOClockSteak/,2416 West State Street,"Milwaukee,",WI,53233,414-342-3553,43.0434029,-87.9434211,success,17
southeast,Great Outdoors Supper Club †,https://wisconsinsupperclubs.com/supper-club/great-outdoors-supper-club-%e2%80%a0/,https://www.greatoutdoorssupperclub.com/,8906 Forest View Road,"Kewaskum,",WI,53040,262-334-7977,43.5134917,-88.1604741,success,18
southeast,HobNob *†,https://wisconsinsupperclubs.com/supper-club/hobnob-%e2%80%a0/,https://thehobnob.com/,277 Sheridan Rd,"Racine,",WI,53403,262-552-8008,42.663143,-87.8089901,success,19
southeast,House of Gerhard,https://wisconsinsupperclubs.com/supper-club/house-of-gerhard/,http://www.houseofgerhard.com,3927 75th St,"Kenosha,",WI,53142,262-694-5212,42.5660529,-87.8561818,success,20
southeast,Iron Ridge Inn,https://wisconsinsupperclubs.com/supper-club/iron-ridge-inn/,http://www.ironridgeinn.com,131 South Main Street,"Iron Ridge,",WI,53035,920-387-3348,43.3980863,-88.5319169,success,21
southeast,Jack Pandl’s Whitefish Bay Inn,https://wisconsinsupperclubs.com/supper-club/jack-pandls-whitefish-bay-inn/,https://www.jackpandls.com,1319 East Henry Clay Street,"Whitefish Bay,",WI,53217,414-964-3800,43.1109808,-87.8938683,success,22
southeast,"Jackson Grill, The",https://wisconsinsupperclubs.com/supper-club/the-jackson-grill/,https://www.facebook.com/people/The-Jackson-Grill/100092849504892/?mibextid=ZbWKwL,3736 West Mitchell Street,"Milwaukee,",WI,53215,414-212-8626,43.0125473,-87.96144559999999,success,23
southeast,"Jail House, The",https://wisconsinsupperclubs.com/supper-club/the-jail-house/,https://www.jailhousewi.com,897 Pleasant Valley Road,"West Bend,",WI,53095,262-675-9302,43.3514367,-88.08226730000001,success,24
southeast,Joey Gerard’s Supper Club,https://wisconsinsupperclubs.com/supper-club/joey-gerards-supper-club/,https://www.bartolottas.com/joey-gerards,5601 Broad Street,"Greendale,",WI,53129,414-858-1900,42.941821,-87.99657599999999,success,25
southeast,Johnny Manhattan’s,https://wisconsinsupperclubs.com/supper-club/johnny-manhattans/,http://www.johnnymanhattans.com,3718 Hubertus Road,"Hubertus,",WI,53033,262-628-7700,43.2366259,-88.222617,success,26
southeast,Juice’s Ghost Town,https://wisconsinsupperclubs.com/supper-club/juices-ghost-town/,https://juicesghostown.com,990 Ulao Road,"Grafton,",WI,53024,262-376-9003,43.3206284,-87.9156368,success,27
southeast,Kurt’s Steakhouse,https://wisconsinsupperclubs.com/supper-club/kurts-steakhouse/,https://www.kurtssteakhouse.com/,22 West Main Street,"Delafield,",WI,53018,262-646-3333,43.0590768,-88.4145254,success,28
southeast,Little Red Inn,https://wisconsinsupperclubs.com/supper-club/little-red-inn/,https://www.littleredinn.com,4900 WI 175,"Hartford,",WI,53027,262-644-8181,43.3698718,-88.3331628,success,29
southeast,Mars Resort,https://wisconsinsupperclubs.com/supper-club/mars-resort/,https://www.mars-resort.com,W4098 South Shore Drive,"Lake Geneva,",WI,53147,262-245-5689,42.591683,-88.5022607,success,30
southeast,Michael’s on the Lake,https://wisconsinsupperclubs.com/supper-club/michaels-on-the-lake/,https://michaelsonthelakewi.com,3101 Eagle Road,"Kansasville,",WI,53139,262-878-3313,42.6961092,-88.12449769999999,success,31
southeast,Milwaukee Steakhouse,https://wisconsinsupperclubs.com/supper-club/milwaukee-steakhouse/,http://themilwaukeesteakhouse.com,6024 West Bluemound Road,"Milwaukee,",WI,53213,414-312-7891,43.0366743,-87.9884091,success,32
southeast,Moonlight Tavern Supper Club,https://wisconsinsupperclubs.com/supper-club/moonlight-tavern-supper-club/,https://www.northshorechophouse.com,101 East Main Street,"Port Washington,",WI,53074,262-235-1981,43.3883133,-87.8706224,success,33
southeast,Nite Cap Inn,https://wisconsinsupperclubs.com/supper-club/nite-cap-inn/,https://www.restaurantji.com/wi/palmyra/nite-cap-inn-/,227 South 3rd Street,"Palmyra,",WI,53156,262-495-2659,42.875828,-88.5847697,success,34
southeast,North Shore Chophouse,https://wisconsinsupperclubs.com/supper-club/north-shore-chophouse/,https://www.northshorechophouse.com,1835 North Shore Road,"Fort Atkinson,",WI,53538,920-563-2083,42.9095965,-88.91980699999999,success,35
southeast,"Olde Cedar Inn, The",https://wisconsinsupperclubs.com/supper-club/the-olde-cedar-inn/,https://oldecedarinn.com,5802 State Hwy 144,West Bend,WI,53095,262-629-4400,43.4025884,-88.26359579999999,success,36
southeast,Pitch’s,https://wisconsinsupperclubs.com/supper-club/pitchs/,https://www.pitchsribs.com,1801 North Humboldt Avenue,"Milwaukee,",WI,53202,414-272-9313,43.0545417,-87.8983465,success,37
southeast,Plier’s Full Circle,https://wisconsinsupperclubs.com/supper-club/pliers-full-circle/,https://www.fullcirclerestaurant.com,3704 Highland Drive,"Port Washington,",WI,53074,262-261-5050,43.4136108,-87.87079489999999,success,38
southeast,Range Line Inn,https://wisconsinsupperclubs.com/supper-club/range-line-inn/,https://www.facebook.com/TheRangeLineInn/,2635 West Mequon Road,Mequon,WI,53092,262-242-0530,43.221391,-87.9437197,success,39
southeast,Red Circle Inn,https://wisconsinsupperclubs.com/supper-club/red-circle-inn/,https://www.redcircleinn.com,N44W33013 Watertown Plank Rd,Nashotah,WI,53058,262-367-4883,43.0990499,-88.4033082,success,40
